ngram,idf
BEGIN_SILENCE ASSIGN_DIM,9.226014102432584
BEGIN_SILENCE ASSIGN_DIM_OP,10.525297086562844
BEGIN_SILENCE ASSIGN_OP,10.525297086562844
BEGIN_SILENCE BEGIN_SILENCE,5.075690272468582
BEGIN_SILENCE BOOL_NOT,8.532866921872639
BEGIN_SILENCE CAST,7.773761773520896
BEGIN_SILENCE CHECK_FUNC_ARG,4.820404117622616
BEGIN_SILENCE CLONE,10.93076219467101
BEGIN_SILENCE CONCAT,5.213734493264787
BEGIN_SILENCE COUNT,5.555483786986843
BEGIN_SILENCE DIV,9.058960017769417
BEGIN_SILENCE DO_FCALL,4.872807906294193
BEGIN_SILENCE ECHO,8.44585554488301
BEGIN_SILENCE END_SILENCE,5.985554705897208
BEGIN_SILENCE FETCH_CLASS,10.525297086562844
BEGIN_SILENCE FETCH_CONSTANT,5.622494497269804
BEGIN_SILENCE FETCH_DIM_IS,9.058960017769417
BEGIN_SILENCE FETCH_DIM_R,5.421373858043031
BEGIN_SILENCE FETCH_DIM_RW,10.93076219467101
BEGIN_SILENCE FETCH_DIM_W,10.93076219467101
BEGIN_SILENCE FETCH_IS,8.291704865055749
BEGIN_SILENCE FETCH_OBJ_R,6.126741149937752
BEGIN_SILENCE FETCH_R,4.421993057699327
BEGIN_SILENCE FETCH_THIS,10.237615014111064
BEGIN_SILENCE FETCH_W,8.06856131374154
BEGIN_SILENCE FUNC_GET_ARGS,10.93076219467101
BEGIN_SILENCE INCLUDE_OR_EVAL,5.557801285127206
BEGIN_SILENCE INIT_ARRAY,7.960347729101308
BEGIN_SILENCE INIT_FCALL,3.475174566293785
BEGIN_SILENCE INIT_USER_CALL,10.93076219467101
BEGIN_SILENCE IN_ARRAY,7.434254633204529
BEGIN_SILENCE IS_NOT_EQUAL,8.328072509226626
BEGIN_SILENCE JMPZ,8.328072509226626
BEGIN_SILENCE JMP_FRAMELESS,9.544467833551119
BEGIN_SILENCE JMP_SET,10.525297086562844
BEGIN_SILENCE MUL,9.058960017769417
BEGIN_SILENCE NEW,7.839719741312693
BEGIN_SILENCE NOP,8.040390436774844
BEGIN_SILENCE OP_DATA,6.212263323375915
BEGIN_SILENCE POST_INC,10.93076219467101
BEGIN_SILENCE PRE_INC,8.365812837209472
BEGIN_SILENCE QM_ASSIGN,10.93076219467101
BEGIN_SILENCE ROPE_INIT,5.629947947924385
BEGIN_SILENCE SEND_VAL_EX,4.512397258734797
BEGIN_SILENCE SEND_VAR,10.525297086562844
BEGIN_SILENCE SEND_VAR_EX,4.402073549942505
BEGIN_SILENCE STRLEN,6.5487355599971275
BEGIN_SILENCE SUB,7.795267978741859
BEGIN_SILENCE TYPE_CHECK,6.376885303070468
BIND_GLOBAL ASSIGN,4.824853513172158
BIND_GLOBAL ASSIGN_DIM,9.058960017769417
BIND_GLOBAL ASSIGN_OBJ,8.44585554488301
BIND_GLOBAL ASSIGN_OP,8.532866921872639
BIND_GLOBAL BEGIN_SILENCE,6.366414003203173
BIND_GLOBAL BIND_GLOBAL,4.696351468952637
BIND_GLOBAL BIND_STATIC,7.205068767434356
BIND_GLOBAL BOOL,9.832149906002899
BIND_GLOBAL BOOL_NOT,6.014437580045994
BIND_GLOBAL BW_AND,10.93076219467101
BIND_GLOBAL CAST,7.935029921117017
BIND_GLOBAL CHECK_FUNC_ARG,8.189922170745808
BIND_GLOBAL CONCAT,6.505915562814199
BIND_GLOBAL COUNT,8.57938693750753
BIND_GLOBAL DECLARE_CLASS,10.237615014111064
BIND_GLOBAL DEFINED,9.677999226175642
BIND_GLOBAL DO_FCALL,6.207808973026534
BIND_GLOBAL ECHO,6.286371295529636
BIND_GLOBAL FETCH_CONSTANT,6.960470281118887
BIND_GLOBAL FETCH_DIM_IS,9.544467833551119
BIND_GLOBAL FETCH_DIM_R,6.078731930751392
BIND_GLOBAL FETCH_DIM_UNSET,10.525297086562844
BIND_GLOBAL FETCH_DIM_W,8.097548850614793
BIND_GLOBAL FETCH_GLOBALS,8.57938693750753
BIND_GLOBAL FETCH_IS,7.028789525096364
BIND_GLOBAL FETCH_OBJ_IS,9.226014102432584
BIND_GLOBAL FETCH_OBJ_R,6.91437917391862
BIND_GLOBAL FETCH_OBJ_W,9.677999226175642
BIND_GLOBAL FETCH_R,5.6424951639764735
BIND_GLOBAL FETCH_THIS,10.014471462796854
BIND_GLOBAL FETCH_W,7.124099704900689
BIND_GLOBAL FE_RESET_R,7.960347729101308
BIND_GLOBAL FUNC_GET_ARGS,7.935029921117017
BIND_GLOBAL FUNC_NUM_ARGS,10.93076219467101
BIND_GLOBAL INCLUDE_OR_EVAL,10.93076219467101
BIND_GLOBAL INIT_ARRAY,7.672665656649527
BIND_GLOBAL INIT_FCALL,4.97881840572531
BIND_GLOBAL INSTANCEOF,9.426684797894735
BIND_GLOBAL IN_ARRAY,9.544467833551119
BIND_GLOBAL IS_EQUAL,5.893809592257379
BIND_GLOBAL IS_IDENTICAL,9.426684797894735
BIND_GLOBAL IS_NOT_EQUAL,7.529564813008854
BIND_GLOBAL IS_SMALLER,9.139002725442953
BIND_GLOBAL JMP,8.06856131374154
BIND_GLOBAL JMPNZ_EX,8.790696031174738
BIND_GLOBAL JMPZ,5.590823153432153
BIND_GLOBAL JMPZ_EX,7.546371931325234
BIND_GLOBAL JMP_FRAMELESS,10.93076219467101
BIND_GLOBAL NEW,7.935029921117017
